CensusTract,State,County,LILATracts_1And10,LILATracts_halfAnd10,LILATracts_1And20,LILATracts_Vehicle,ZipCode
6059032034,California,Orange County,0,0,0,0,92692.0
6059032035,California,Orange County,0,0,0,0,92692.0
6059032036,California,Orange County,0,0,0,0,92692.0
6059032037,California,Orange County,0,0,0,0,92692.0
6059032038,California,Orange County,0,0,0,0,92692.0
6059032039,California,Orange County,0,0,0,0,92692.0
6059032040,California,Orange County,0,0,0,0,92692.0
6059032041,California,Orange County,0,0,0,0,92679.0
6059032042,California,Orange County,0,0,0,0,92679.0
6059032043,California,Orange County,0,0,0,0,92679.0
6059032044,California,Orange County,0,0,0,0,92679.0
6059032045,California,Orange County,0,0,0,0,92679.0
6059032046,California,Orange County,0,0,0,0,92679.0
6059032047,California,Orange County,0,0,0,0,92692.0
6059032048,California,Orange County,0,0,0,0,92692.0
6059032049,California,Orange County,0,0,0,0,92692.0
6059032050,California,Orange County,0,0,0,0,92688.0
6059032051,California,Orange County,0,0,0,0,92688.0
6059032053,California,Orange County,0,0,0,0,92688.0
6059032054,California,Orange County,0,0,0,0,92688.0
6059032055,California,Orange County,0,0,0,0,92688.0
6059032056,California,Orange County,0,0,0,0,
6059032057,California,Orange County,0,0,0,0,92694.0
6059032058,California,Orange County,0,0,0,0,92694.0
6059032059,California,Orange County,0,0,0,0,92694.0
6059032061,California,Orange County,0,0,0,0,92694.0
6059042103,California,Orange County,0,0,0,0,
6059042106,California,Orange County,0,0,0,0,92674.0
6059042107,California,Orange County,0,0,0,0,92672.0
6059042108,California,Orange County,0,0,0,0,92674.0
6059042109,California,Orange County,0,0,0,0,92673.0
6059042111,California,Orange County,0,0,0,0,92673.0
6059042112,California,Orange County,0,0,0,0,92673.0
6059042113,California,Orange County,0,0,0,0,92672.0
6059042114,California,Orange County,0,0,0,0,92672.0
6059042201,California,Orange County,0,0,0,0,92675.0
6059042203,California,Orange County,0,0,0,0,92675.0
6059042205,California,Orange County,0,0,0,0,92675.0
6059042206,California,Orange County,0,0,0,0,92672.0
6059042305,California,Orange County,0,0,0,0,92652.0
6059042307,California,Orange County,0,0,0,0,92653.0
6059042310,California,Orange County,0,0,0,0,
6059042311,California,Orange County,0,0,0,0,92677.0
6059042312,California,Orange County,0,0,0,0,92693.0
6059042313,California,Orange County,0,0,0,0,92629.0
6059042315,California,Orange County,0,0,0,0,92692.0
6059042317,California,Orange County,0,0,0,0,92677.0
6059042319,California,Orange County,0,0,0,0,92677.0
6059042320,California,Orange County,0,0,0,0,92677.0
6059042323,California,Orange County,0,0,0,0,92629.0
6059042324,California,Orange County,0,0,0,0,92677.0
6059042325,California,Orange County,0,0,0,0,92677.0
6059042326,California,Orange County,0,0,0,0,92677.0
6059042327,California,Orange County,0,0,0,0,92653.0
6059042328,California,Orange County,0,0,0,0,92691.0
6059042329,California,Orange County,0,0,0,0,92677.0
6059042330,California,Orange County,0,0,0,0,92677.0
6059042331,California,Orange County,0,0,0,0,92677.0
6059042332,California,Orange County,0,0,0,0,92677.0
6059042333,California,Orange County,0,0,0,0,92691.0
6059042334,California,Orange County,0,0,0,0,92677.0
6059042335,California,Orange County,0,0,0,0,92677.0
6059042336,California,Orange County,0,0,0,0,92677.0
6059042337,California,Orange County,0,0,0,0,92677.0
6059042338,California,Orange County,0,0,0,0,92629.0
6059042339,California,Orange County,0,0,0,0,92629.0
6059052404,California,Orange County,0,0,0,0,
6059052408,California,Orange County,0,0,0,0,92630.0
6059052410,California,Orange County,0,0,0,0,92630.0
6059052411,California,Orange County,0,0,0,0,92630.0
6059052415,California,Orange County,0,0,0,0,92630.0
6059052416,California,Orange County,0,0,0,0,92630.0
6059052417,California,Orange County,0,0,0,0,92620.0
6059052418,California,Orange County,0,0,0,0,
6059052419,California,Orange County,0,0,0,0,92782.0
6059052420,California,Orange County,0,0,0,0,
6059052421,California,Orange County,0,0,0,0,92620.0
6059052422,California,Orange County,0,0,0,0,92630.0
6059052423,California,Orange County,0,0,0,0,92630.0
6059052424,California,Orange County,0,0,0,0,92630.0
6059052425,California,Orange County,0,0,0,0,92630.0
6059052426,California,Orange County,0,0,0,0,
6059052427,California,Orange County,0,0,0,0,92610.0
6059052428,California,Orange County,0,0,0,0,92692.0
6059052502,California,Orange County,0,0,0,0,92780.0
6059052505,California,Orange County,0,0,0,0,92618.0
6059052506,California,Orange County,0,0,0,0,92618.0
6059052511,California,Orange County,0,0,0,0,92604.0
6059052513,California,Orange County,0,0,0,0,92604.0
6059052514,California,Orange County,0,0,0,0,92614.0
6059052515,California,Orange County,0,0,0,0,
6059052517,California,Orange County,0,0,0,0,
6059052518,California,Orange County,0,0,0,0,92650.0
6059052519,California,Orange County,0,0,0,0,92614.0
6059052520,California,Orange County,0,0,0,0,92614.0
6059052521,California,Orange County,0,0,0,0,92614.0
6059052522,California,Orange County,0,0,0,0,92614.0
6059052523,California,Orange County,0,0,0,0,92614.0
6059052524,California,Orange County,0,0,0,0,92782.0
6059052525,California,Orange County,0,0,0,0,
6059052526,California,Orange County,0,0,0,0,92604.0
6059052527,California,Orange County,0,0,0,0,92606.0
6059052528,California,Orange County,0,0,0,0,92604.0
6059062604,California,Orange County,0,0,0,0,
6059062605,California,Orange County,0,0,0,0,92652.0
6059062610,California,Orange County,0,1,0,0,92707.0
6059062611,California,Orange County,0,0,0,0,92612.0
6059062612,California,Orange County,0,0,0,0,
6059062614,California,Orange County,0,1,0,1,92697.0
6059062619,California,Orange County,0,0,0,0,92651.0
6059062620,California,Orange County,0,0,0,0,92651.0
6059062621,California,Orange County,0,0,0,0,
6059062622,California,Orange County,0,1,0,0,92653.0
6059062625,California,Orange County,0,1,0,0,92653.0
6059062626,California,Orange County,0,0,0,0,92616.0
6059062627,California,Orange County,0,0,0,0,92612.0
6059062628,California,Orange County,0,0,0,0,92612.0
6059062629,California,Orange County,0,0,0,0,92603.0
6059062630,California,Orange County,0,0,0,0,92612.0
6059062631,California,Orange County,0,0,0,0,92603.0
6059062632,California,Orange County,0,0,0,0,92651.0
6059062633,California,Orange County,0,0,0,0,92656.0
6059062634,California,Orange County,0,0,0,0,92656.0
6059062635,California,Orange County,0,0,0,0,92656.0
6059062636,California,Orange County,0,0,0,0,92698.0
6059062637,California,Orange County,0,0,0,0,92656.0
6059062638,California,Orange County,0,0,0,0,92656.0
6059062639,California,Orange County,0,0,0,0,92656.0
6059062640,California,Orange County,0,0,0,0,92656.0
6059062641,California,Orange County,0,0,0,0,92656.0
6059062642,California,Orange County,0,0,0,0,92625.0
6059062643,California,Orange County,0,0,0,0,92657.0
6059062644,California,Orange County,0,0,0,0,
6059062645,California,Orange County,0,0,0,0,92660.0
6059062646,California,Orange County,0,1,0,1,92637.0
6059062647,California,Orange County,0,1,0,0,92654.0
6059062648,California,Orange County,0,1,0,1,92653.0
6059062649,California,Orange County,0,0,0,0,92651.0
6059062701,California,Orange County,0,0,0,0,92625.0
6059062702,California,Orange County,0,0,0,0,92625.0
6059062800,California,Orange County,0,0,0,0,92663.0
6059062900,California,Orange County,0,0,0,0,92663.0
6059063004,California,Orange County,0,0,0,0,92660.0
6059063005,California,Orange County,0,0,0,0,92660.0
6059063006,California,Orange County,0,0,0,0,92662.0
6059063007,California,Orange County,0,0,0,0,92660.0
6059063008,California,Orange County,0,0,0,0,92660.0
6059063009,California,Orange County,0,0,0,0,92660.0
6059063010,California,Orange County,0,0,0,0,92663.0
6059063101,California,Orange County,0,0,0,0,92660.0
6059063102,California,Orange County,0,0,0,0,92660.0
6059063103,California,Orange County,0,0,0,0,92660.0
6059063201,California,Orange County,0,0,0,0,92627.0
6059063202,California,Orange County,0,0,0,0,92627.0
6059063301,California,Orange County,0,0,0,0,92627.0
6059063302,California,Orange County,0,0,0,0,92663.0
6059063400,California,Orange County,0,0,0,0,92663.0
6059063500,California,Orange County,0,0,0,0,92663.0
6059063601,California,Orange County,0,0,0,0,92663.0
6059063603,California,Orange County,0,0,0,0,92663.0
6059063604,California,Orange County,0,1,0,0,92663.0
6059063605,California,Orange County,0,0,0,0,92627.0
6059063701,California,Orange County,0,0,0,0,92627.0
6059063702,California,Orange County,0,0,0,0,92627.0
6059063802,California,Orange County,0,0,0,0,92628.0
6059063803,California,Orange County,0,0,0,0,92627.0
6059063805,California,Orange County,0,0,0,0,92626.0
6059063806,California,Orange County,0,0,0,0,92626.0
6059063807,California,Orange County,0,0,0,0,92627.0
6059063808,California,Orange County,0,1,0,0,92627.0
6059063902,California,Orange County,0,0,0,0,92626.0
6059063903,California,Orange County,0,0,0,0,92626.0
6059063904,California,Orange County,0,0,0,0,92626.0
6059063905,California,Orange County,0,0,0,0,92627.0
6059063906,California,Orange County,0,1,0,0,92627.0
6059063907,California,Orange County,0,0,0,0,
6059063908,California,Orange County,0,0,0,0,92626.0
6059074003,California,Orange County,0,0,0,0,92707.0
6059074004,California,Orange County,0,0,0,0,92707.0
6059074005,California,Orange County,0,0,0,0,92707.0
6059074006,California,Orange County,0,0,0,0,92707.0
6059074102,California,Orange County,0,0,0,0,92704.0
6059074103,California,Orange County,0,0,0,0,92707.0
6059074106,California,Orange County,0,0,0,0,92799.0
6059074107,California,Orange County,0,0,0,0,92704.0
6059074108,California,Orange County,0,0,0,0,92704.0
6059074109,California,Orange County,0,0,0,0,92704.0
6059074110,California,Orange County,0,0,0,0,92704.0
6059074111,California,Orange County,0,0,0,0,92704.0
6059074200,California,Orange County,0,0,0,0,92707.0
6059074300,California,Orange County,0,0,0,0,92707.0
6059074403,California,Orange County,0,1,0,0,92735.0
6059074405,California,Orange County,0,0,0,0,92701.0
6059074406,California,Orange County,0,1,0,0,92701.0
6059074407,California,Orange County,0,1,0,0,92780.0
6059074408,California,Orange County,0,1,0,0,92780.0
6059074501,California,Orange County,0,0,0,0,92707.0
6059074502,California,Orange County,0,0,0,0,92707.0
6059074601,California,Orange County,0,0,0,0,92707.0
6059074602,California,Orange County,0,0,0,0,92707.0
6059074701,California,Orange County,0,0,0,0,92704.0
6059074702,California,Orange County,0,0,0,0,92707.0
6059074801,California,Orange County,0,0,0,0,92703.0
6059074802,California,Orange County,0,0,0,0,92704.0
6059074803,California,Orange County,0,0,0,0,92704.0
6059074805,California,Orange County,0,0,0,0,92704.0
6059074806,California,Orange County,0,0,0,0,92704.0
6059074901,California,Orange County,0,0,0,0,92703.0
6059074902,California,Orange County,0,0,0,0,92707.0
6059075002,California,Orange County,0,0,0,0,92703.0
6059075003,California,Orange County,0,0,0,0,92706.0
6059075004,California,Orange County,0,0,0,0,92706.0
6059075100,California,Orange County,0,0,0,0,92706.0
6059075201,California,Orange County,0,1,0,0,92706.0
6059075202,California,Orange County,0,0,0,0,92706.0
6059075301,California,Orange County,0,0,0,0,92706.0
6059075302,California,Orange County,0,0,0,0,92706.0
6059075303,California,Orange County,0,0,0,0,92706.0
6059075401,California,Orange County,0,0,0,0,92706.0
6059075403,California,Orange County,0,0,0,0,92780.0
6059075404,California,Orange County,0,0,0,0,92711.0
6059075405,California,Orange County,0,0,0,0,92705.0
6059075504,California,Orange County,0,0,0,0,92780.0
6059075505,California,Orange County,0,0,0,0,92781.0
6059075506,California,Orange County,0,0,0,0,92780.0
6059075507,California,Orange County,0,0,0,0,92780.0
6059075512,California,Orange County,0,0,0,0,92780.0
6059075513,California,Orange County,0,0,0,0,92780.0
6059075514,California,Orange County,0,0,0,0,92780.0
6059075515,California,Orange County,0,1,0,1,
6059075603,California,Orange County,0,0,0,0,92780.0
6059075604,California,Orange County,0,0,0,0,92869.0
6059075605,California,Orange County,0,0,0,0,92869.0
6059075606,California,Orange County,0,0,0,0,92782.0
6059075607,California,Orange County,0,0,0,0,92782.0
6059075701,California,Orange County,0,0,0,0,92780.0
6059075702,California,Orange County,0,0,0,0,92780.0
6059075703,California,Orange County,0,0,0,0,92705.0
6059075805,California,Orange County,0,0,0,0,92867.0
6059075806,California,Orange County,0,0,0,0,92867.0
6059075807,California,Orange County,0,0,0,0,92869.0
6059075808,California,Orange County,0,0,0,0,92869.0
6059075809,California,Orange County,0,0,0,0,92867.0
6059075810,California,Orange County,0,0,0,0,92867.0
6059075811,California,Orange County,0,0,0,0,92867.0
6059075812,California,Orange County,0,0,0,0,92867.0
6059075813,California,Orange County,0,0,0,0,92867.0
6059075814,California,Orange County,0,0,0,0,92867.0
6059075815,California,Orange County,0,0,0,0,92867.0
6059075816,California,Orange County,0,0,0,0,92869.0
6059075901,California,Orange County,0,1,0,0,92868.0
6059075902,California,Orange County,0,1,0,1,92866.0
6059076000,California,Orange County,0,0,0,0,
6059076101,California,Orange County,0,0,0,0,
6059076102,California,Orange County,1,1,1,1,92868.0
6059076103,California,Orange County,0,1,0,0,92868.0
6059076201,California,Orange County,0,0,0,0,92865.0
6059076202,California,Orange County,0,0,0,0,92867.0
6059076204,California,Orange County,1,1,1,0,92868.0
6059076205,California,Orange County,0,0,0,0,92867.0
6059076206,California,Orange County,0,0,0,0,92867.0
6059076208,California,Orange County,0,0,0,0,92865.0
6059086301,California,Orange County,0,0,0,0,92806.0
6059086303,California,Orange County,0,0,0,0,92806.0
6059086304,California,Orange County,0,0,0,0,92816.0
6059086305,California,Orange County,0,0,0,0,92806.0
6059086306,California,Orange County,0,0,0,0,92806.0
6059086402,California,Orange County,0,0,0,0,92806.0
6059086404,California,Orange County,0,0,0,0,92806.0
6059086405,California,Orange County,0,0,0,0,92806.0
6059086406,California,Orange County,0,1,0,0,92806.0
6059086407,California,Orange County,0,0,0,0,92807.0
6059086501,California,Orange County,0,1,0,0,92832.0
6059086502,California,Orange County,0,0,0,0,92805.0
6059086601,California,Orange County,0,0,0,0,92801.0
6059086602,California,Orange County,0,0,0,0,92805.0
6059086701,California,Orange County,0,0,0,0,92833.0
6059086702,California,Orange County,0,0,0,0,92801.0
6059086801,California,Orange County,0,0,0,0,92801.0
6059086802,California,Orange County,0,0,0,0,92801.0
6059086803,California,Orange County,0,0,0,0,92801.0
6059086901,California,Orange County,0,1,0,0,92804.0
6059086902,California,Orange County,0,0,0,0,92804.0
6059086903,California,Orange County,0,1,0,0,92804.0
6059087001,California,Orange County,0,0,0,0,92804.0
6059087002,California,Orange County,0,0,0,0,92804.0
6059087101,California,Orange County,0,1,0,0,92804.0
6059087102,California,Orange County,0,1,0,0,92801.0
6059087103,California,Orange County,0,0,0,0,92804.0
6059087105,California,Orange County,0,0,0,0,92802.0
6059087106,California,Orange County,0,1,0,1,92802.0
6059087200,California,Orange County,0,1,0,1,92805.0
6059087300,California,Orange County,0,1,0,0,
6059087401,California,Orange County,0,0,0,0,92805.0
6059087403,California,Orange County,0,0,0,0,92805.0
6059087404,California,Orange County,0,1,0,0,92805.0
6059087405,California,Orange County,0,1,0,0,92825.0
6059087503,California,Orange County,0,1,0,0,92840.0
6059087504,California,Orange County,0,1,0,0,92802.0
6059087505,California,Orange County,0,1,0,0,92802.0
6059087601,California,Orange County,0,0,0,0,92804.0
6059087602,California,Orange County,0,0,0,0,92840.0
6059087701,California,Orange County,0,0,0,0,92814.0
6059087703,California,Orange County,0,0,0,0,92804.0
6059087704,California,Orange County,0,0,0,0,92804.0
6059087801,California,Orange County,0,0,0,0,92804.0
6059087802,California,Orange County,0,1,0,0,92804.0
6059087803,California,Orange County,0,0,0,0,92804.0
6059087805,California,Orange County,0,1,0,0,92804.0
6059087806,California,Orange County,0,1,0,0,92804.0
6059087901,California,Orange County,0,0,0,0,92841.0
6059087902,California,Orange County,0,1,0,0,92841.0
6059088001,California,Orange County,0,1,0,0,92841.0
6059088002,California,Orange County,0,1,0,0,92841.0
6059088101,California,Orange County,0,0,0,0,92841.0
6059088104,California,Orange County,0,1,0,0,92841.0
6059088105,California,Orange County,0,0,0,0,92841.0
6059088106,California,Orange County,0,0,0,0,92844.0
