CensusTract,State,County,LILATracts_1And10,LILATracts_halfAnd10,LILATracts_1And20,LILATracts_Vehicle,ZipCode
6059110005,California,Orange County,0,0,0,0,92845.0
6059110006,California,Orange County,0,0,0,0,90720.0
6059110007,California,Orange County,0,0,0,0,90740.0
6059110008,California,Orange County,0,0,0,0,90740.0
6059110010,California,Orange County,0,0,0,0,92845.0
6059110011,California,Orange County,0,0,0,0,90630.0
6059110012,California,Orange County,0,0,0,0,90740.0
6059110014,California,Orange County,0,0,0,0,90720.0
6059110015,California,Orange County,0,0,0,0,90740.0
6059110102,California,Orange County,0,0,0,0,90630.0
6059110104,California,Orange County,0,0,0,0,90630.0
6059110106,California,Orange County,0,0,0,0,90630.0
6059110108,California,Orange County,0,0,0,0,90815.0
6059110109,California,Orange County,0,0,0,0,90630.0
6059110110,California,Orange County,0,0,0,0,90630.0
6059110111,California,Orange County,0,0,0,0,90630.0
6059110113,California,Orange County,0,0,0,0,92804.0
6059110114,California,Orange County,0,0,0,0,90630.0
6059110115,California,Orange County,0,0,0,0,90703.0
6059110116,California,Orange County,0,0,0,0,90623.0
6059110117,California,Orange County,0,0,0,0,90720.0
6059110118,California,Orange County,0,0,0,0,90630.0
6059110201,California,Orange County,0,0,0,0,92801.0
6059110202,California,Orange County,0,1,0,1,92804.0
6059110203,California,Orange County,0,0,0,0,92804.0
6059110301,California,Orange County,0,0,0,0,90623.0
6059110302,California,Orange County,0,0,0,0,90622.0
6059110303,California,Orange County,0,0,0,0,90620.0
6059110304,California,Orange County,0,0,0,0,90630.0
6059110401,California,Orange County,0,0,0,0,90621.0
6059110402,California,Orange County,0,0,0,0,92801.0
6059110500,California,Orange County,0,1,0,1,90638.0
6059110603,California,Orange County,1,1,1,0,90621.0
6059110604,California,Orange County,0,0,0,0,90638.0
6059110605,California,Orange County,0,0,0,0,92833.0
6059110606,California,Orange County,0,1,0,0,90621.0
6059110607,California,Orange County,0,0,0,0,90621.0
6059980000,California,Orange County,0,0,0,0,92812.0
