Fast Food Name,ZipCode,State
Fosters Freeze,94577,CA
Taco Bell,94577,CA
Taco Bell,94578,CA
Baja Fresh,94583,CA
McDonald's,94588,CA
McDonald's,94588,CA
Burger King,94601,CA
McDonald's,94605,CA
Burger King,94611,CA
Wendy's,94618,CA
McDonald's,94621,CA
Del Taco,94621,CA
Hegenburgers,94621,CA
Lanesplitter Pizza & Pub,94702,CA
Subway Guitars,94703,CA
Quiznos,94704,CA
Burger King,94801,CA
KFC,94806,CA
KFC,94806,CA
World Wrapps,94925,CA
Jack in the Box,95008,CA
Subway,95008,CA
Wienerschnitzel,95008,CA
Subway,95014,CA
Burger King,95020,CA
McDonald's,95035,CA
Kim Lee Fast Food,95035,CA
Burger King,95050,CA
Burger King,95051,CA
Taco Bell,95051,CA
Domino's Pizza,95060,CA
Burger King,95076,CA
McDonald's,95076,CA
El Pollo Loco,95110,CA
Burger King,95112,CA
Five Guys,95112,CA
El Tarasco Mexican Food,95112,CA
Baja Fresh,95113,CA
Taco Bell,95117,CA
Subway,95118,CA
McDonald's,95121,CA
Wendy's,95121,CA
McDonald's,95123,CA
Boston Market,95125,CA
Wienerschnitzel,95126,CA
Popeyes Louisiana Kitchen,95129,CA
McDonald's,95136,CA
McDonalds,95203,CA
McDonald's,95206,CA
McDonald's,95207,CA
McDonald's,95207,CA
Dairy Queen,95209,CA
El Pollo Loco,95210,CA
Wienerschnitzel,95212,CA
Taco Bell,95237,CA
McDonald's,95242,CA
McDonalds,95301,CA
Jack in the Box,95334,CA
McDonald's,95336,CA
El Pollo Loco,95336,CA
Taco Bell,95337,CA
El Pollo Loco,95348,CA
McDonald's,95348,CA
Jack in the Box,95350,CA
Jack in the Box,95351,CA
Wendy's,95351,CA
Jack in the Box,95354,CA
Taco Bell,95354,CA
Jack in the Box,95355,CA
McDonald's,95355,CA
Carl's Jr.,95356,CA
Taco Bell,95356,CA
Taco Bell,95357,CA
McDonald's,95363,CA
Jack in the Box,95363,CA
McDonald's,95363,CA
Taco Bell,95363,CA
Wendy's,95363,CA
Carl's Jr.,95363,CA
Pizza Hut,95367,CA
Carl's Jr.,95370,CA
McDonald's,95376,CA
Taco Bell,95380,CA
Jack in the Box,95380,CA
Wendy's,95380,CA
Taco Bell,95382,CA
Carl's Jr. / Green Burrito,95382,CA
Taco Bell,95403,CA
Taco Bell,95405,CA
Foster's Freeze,95458,CA
McDonald's,95472,CA
McDonald's,95476,CA
KFC,95603,CA
McDonald's,95603,CA
Burger King,95603,CA
Carl's Jr.,95603,CA
Burger King,95603,CA
